Title,Date,Genre,orig_lang,Revenue($),Budget($),country,score
Champions,9-Mar-23,comedy, English,9263009,51880004,AU,68
The Library Boys,29-Nov-22,comedy, English,564483268,77300000,AU,43
The Hangover,11-Jun-09,comedy, English,465487583,35000000,AU,73
Grown Ups 2,26-Sep-13,comedy, English,247023808,80000000,AU,61
Grown Ups,24-Jun-10,comedy, English,272222420,75000000,AU,64
Scary Movie,31-Aug-00,comedy, English,277200000,19000000,AU,63
The Hangover Part II,25-May-11,comedy, English,586764305,80000000,AU,65
Scary Movie 5,11-Apr-13,comedy, English,78378744,20000000,AU,48
Vacation Friends,27-Aug-21,comedy, English,558301702,105200000,AU,71
Scary Movie 2,18-Oct-01,comedy, English,141189101,45000000,AU,58
Project X,1-Mar-12,comedy, English,103028188,12000000,AU,68
The Hangover Part III,23-May-13,comedy, English,362000072,103000000,AU,62
Superbad,20-Sep-07,comedy, English,169955142,17500000,AU,72
American Pie Presents: Beta House,3-Jan-08,comedy, English,18610260,10000000,AU,56
House Party,1-Feb-23,comedy, English,519948265,90544000,AU,64
American Reunion,4-Apr-12,comedy, English,236799211,50000000,AU,63
Vacation,19-Aug-15,comedy, English,102306500,31000000,AU,63
Scary Movie 3,11-Dec-03,comedy, English,155200000,45000000,AU,60
Scary Movie 4,13-Apr-06,comedy, English,178710620,40000000,AU,55
American Pie Presents: The Naked Mile,29-Dec-06,comedy, English,27500000,15000000,AU,55
Life of Brian,22-Nov-79,comedy, English,20522496,4000000,AU,78
Mean Girls,24-Jun-04,comedy, English,130714469,18000000,AU,72
Sex Tape,17-Jul-14,comedy, English,126069509,40000000,AU,54
The Longest Yard,2-Jul-05,comedy, English,191558505,82000000,AU,66
Honor Society,29-Jul-22,comedy, English,325823995,20000000,AU,79
Friday,4-Oct-95,comedy, English,27936778,3500000,AU,71
Spirited,18-Nov-22,comedy, English,412519762,75000000,AU,70
Zack and Miri Make a Porno,19-Feb-09,comedy, English,36856306,24000000,AU,63
American Pie Presents: Band Camp,26-Dec-05,comedy, English,75759760,10000000,AU,55
Let's Be Cops,13-Nov-14,comedy, English,136621271,17000000,AU,65
Dumb and Dumber To,1-Jan-15,comedy, English,156553592,40000000,AU,56
Norbit,22-Feb-07,comedy, English,159313561,10000000,AU,56
Deuce Bigalow: Male Gigolo,6-Jan-00,comedy, English,92935067,18000000,AU,59
Dirty Grandpa,28-Jan-16,comedy, English,105078449,11500000,AU,59
The Three Stooges,28-Jun-12,comedy, English,54052249,30000000,AU,58
Dumb and Dumber,16-Mar-95,comedy, English,247275374,16000000,AU,66
Not Another Teen Movie,21-Mar-02,comedy, English,62401343,15000000,AU,58
The Change-Up,13-Aug-11,comedy, English,75997067,52000000,AU,61
The People We Hate at the Wedding,18-Nov-22,comedy, English,271669046,110000000,AU,63
Senior Year,13-May-22,comedy, English,234980053,135159000,AU,59
Movie 43,7-Feb-13,comedy, English,31164747,10000000,AU,46
"Me, Myself & Irene",22-Jun-00,comedy, English,149270999,51000000,AU,66
17 Again,11-Mar-09,comedy, English,139474906,40000000,AU,63
The Wedding Ringer,12-Feb-15,comedy, English,80171596,23000000,AU,65
Meet the Spartans,28-Feb-08,comedy, English,84646831,30000000,AU,40
Deuce Bigalow: European Gigolo,22-Sep-05,comedy, English,45273464,22000000,AU,52
Trading Places,26-Jan-84,comedy, English,90404800,15000000,AU,72
Horrible Bosses 2,11-Dec-14,comedy, English,105945357,40000000,AU,62
DodgeBall: A True Underdog Story,9-Sep-04,comedy, English,167722310,20000000,AU,63
Neighbors,8-May-14,comedy, English,270944428,18000000,AU,62
The Dictator,15-May-12,comedy, English,180148897,65000000,AU,62
The Animal,2-Aug-01,comedy, English,55762229,22000000,AU,51
Airplane!,12-Dec-80,comedy, English,83453539,3500000,AU,73
Neighbors 2: Sorority Rising,12-May-16,comedy, English,108757621,35000000,AU,58
Coming 2 America,5-Mar-21,comedy, English,0,60000000,AU,65
Liar Liar,12-Jun-97,comedy, English,302710615,45000000,AU,66
Blockers,14-Mar-18,comedy, English,94523781,21000000,AU,63
National Lampoon's Christmas Vacation,30-Nov-89,comedy, English,71319546,27000000,AU,72
How to Be a Latin Lover,28-Apr-17,comedy, English,62556228,10000000,AU,70
Instant Family,10-Jan-19,comedy, English,119736188,48000000,AU,76
The Intern,24-Sep-15,comedy, English,197115710,40000000,AU,72
Mean Girls 2,23-Jan-11,comedy, English,462439605,97250080,AU,53
Easy A,16-Sep-10,comedy, English,76200721,8000000,AU,68
Zoolander,1-Nov-01,comedy, English,60780981,28000000,AU,62
80 for Brady,27-Apr-23,comedy, English,39715674,28000000,AU,71
Mike and Dave Need Wedding Dates,7-Jul-16,comedy, English,75898100,33000000,AU,61
Fist Fight,31-May-17,comedy, English,40286416,25000000,AU,61
Daddy's Home 2,17-Nov-17,comedy, English,180613180,69000000,AU,63
Stan Helsing,10-Feb-10,comedy, English,1400000,365000,AU,42
Ferris Bueller's Day Off,21-Aug-86,comedy, English,70136369,6000000,AU,76
Daddy's Home,26-Dec-15,comedy, English,242786137,50000000,AU,63
Why Him?,26-Dec-16,comedy, English,117425156,38000000,AU,64
Good Boys,19-Sep-19,comedy, English,111174248,20000000,AU,69
EuroTrip,12-Aug-04,comedy, English,20796847,25000000,AU,65
Booksmart,8-Jul-19,comedy, English,24948141,6000000,AU,70
Borat Subsequent Moviefilm,23-Oct-20,comedy, English,246367071,100000000,AU,65
Happy Gilmore,8-Aug-96,comedy, English,41004412,10000000,AU,66
Animal House,27-Jul-78,comedy, English,141000000,2700000,AU,70
Accepted,25-Aug-06,comedy, English,38505009,23000000,AU,64
Waiting...,1-Dec-05,comedy, English,18673274,1125000,AU,63
Billy Madison,20-Jul-95,comedy, English,26488734,10000000,AU,62
Jackass Presents: Bad Grandpa,14-Nov-13,comedy, English,160903019,15000000,AU,61
Spanglish,17-Feb-05,comedy, English,54344321,75000000,AU,60
Bad Teacher,21-Jul-11,comedy, English,215448997,19000000,AU,56
Office Space,15-Apr-99,comedy, English,12179708,10000000,AU,74
Fighting with My Family,18-Feb-19,comedy, English,39055536,11000000,AU,69
Robin Hood: Men in Tights,6-Jan-94,comedy, English,35739755,20000000,AU,66
Bad Moms,11-Aug-16,comedy, English,180485601,20000000,AU,65
Talladega Nights: The Ballad of Ricky Bobby,21-Sep-06,comedy, English,162870525,73000000,AU,63
A Bad Moms Christmas,2-Nov-17,comedy, English,127710550,28000000,AU,63
Old School,29-May-03,comedy, English,86737464,24000000,AU,66
Chef,8-May-14,comedy, English,45967935,11000000,AU,71
Porky's,13-Apr-84,comedy, English,109492484,4000000,AU,64
Wedding Daze,19-Sep-07,comedy, English,591573175,70800000,AU,55
Down Periscope,9-May-96,comedy, English,271669046,110000000,AU,63
The Waterboy,21-Jan-99,comedy, English,190191646,23000000,AU,60
Booty Call,31-Jul-97,comedy, English,20060051,7520000,AU,53
Twins,19-Jan-89,comedy, English,216600000,15000000,AU,60
Top Secret!,9-Aug-84,comedy, English,20458340,9000000,AU,71
Step Brothers,11-Sep-08,comedy, English,128107642,65000000,AU,66
Fun with Dick and Jane,26-Dec-05,comedy, English,202026112,100000000,AU,62
The Benchwarmers,11-May-06,comedy, English,65063726,35000000,AU,58
History of the World: Part I,21-Jan-82,comedy, English,31672000,11000000,AU,68
Walk of Shame,10-Sep-14,comedy, English,8122990,21800000.2,AU,60
Like a Boss,6-May-20,comedy, English,26563888,29000000,AU,63
Tammy,16-Oct-14,comedy, English,96407655,20000000,AU,53
Moms' Night Out,25-Mar-14,comedy, English,10429707,5000000,AU,56
Blades of Glory,21-Jun-07,comedy, English,145594548,61000000,AU,61
"Planes, Trains and Automobiles",29-Feb-88,comedy, English,49500000,15000000,AU,72
Young Frankenstein,28-Aug-75,comedy, English,86300489,2800000,AU,79
Bachelor Party,26-Jul-84,comedy, English,38435947,6000000,AU,63
Anchorman: The Legend of Ron Burgundy,21-Oct-04,comedy, English,89476265,25000000,AU,67
Sydney White,17-Sep-08,comedy, English,13636339,16500000,AU,65
The Replacements,7-Oct-00,comedy, English,50054511,50000000,AU,66
Last Vegas,1-Jan-14,comedy, English,112914167,28000000,AU,64
Bring It On,14-Dec-00,comedy, English,90449929,28000000,AU,62
Jexi,27-Dec-19,comedy, English,10601127,5000000,AU,69
Grudge Match,23-Jan-14,comedy, English,69817991,40000000,AU,61
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,8-Nov-06,comedy, English,262552893,18000000,AU,67
Anchorman 2: The Legend Continues,19-Dec-13,comedy, English,172246223,50000000,AU,61
Fast Times at Ridgemont High,9-Jun-95,comedy, English,27093116,4500000,AU,68
Hot Tub Time Machine 2,2-Sep-15,comedy, English,12826644,14000000,AU,52
The Bubble,1-Apr-22,comedy, English,947468746,100100000,AU,47
Clerks,17-Jan-95,comedy, English,3894240,27000,AU,74
Next Friday,27-Jul-00,comedy, English,59675307,9500000,AU,65
18 Year Old Virgin,26-Feb-09,comedy, English,567601271,101800000,AU,40
Life of the Party,1-Aug-18,comedy, English,65859911,30000000,AU,62
The Little Hours,7-Jun-17,comedy, English,220176894,72440000,AU,58
Role Models,15-Jan-09,comedy, English,94500826,28000000,AU,65
Vegas Vacation,27-Apr-97,comedy, English,36400360,25000000,AU,61
Entourage,4-Jun-15,comedy, English,46438538,30000000,AU,62
Drillbit Taylor,20-Mar-08,comedy, English,49686263,40000000,AU,58
The Incredible Burt Wonderstone,14-Mar-13,comedy, English,27392609,32000000,AU,56
Brewster's Millions,15-Aug-85,comedy, English,45833132,20000000,AU,66
Office Christmas Party,25-Nov-16,comedy, English,115097874,45000000,AU,57
A Very Harold & Kumar Christmas,19-Oct-12,comedy, English,36192775,19000000,AU,60
Dazed and Confused,27-May-94,comedy, English,7961889,6900000,AU,73
Encino Man,27-Aug-92,comedy, English,40693477,7000000,AU,58
Jay and Silent Bob Strike Back,31-Jan-02,comedy, English,33762400,22000000,AU,64
21 & Over,7-Mar-13,comedy, English,48065672,13000000,AU,58
This Is 40,17-Jan-13,comedy, English,88215156,35000000,AU,58
Death at a Funeral,28-Apr-10,comedy, English,48977233,21000000,AU,58
Death at a Funeral,28-Apr-10,comedy, English,47289148,20000000,AU,58
The Producers,26-Sep-18,comedy, English,134072628,947000,AU,71
The Big Wedding,9-May-13,comedy, English,48425971,32500000,AU,59
Friday After Next,7-Aug-03,comedy, English,33526835,10000000,AU,63
The Last American Virgin,2-Jun-83,comedy, English,327139852,54000000,AU,66
Swingers,12-Jun-97,comedy, English,6618578,200000,AU,69
Dinner for Schmucks,5-Aug-10,comedy, English,86796502,69000000,AU,57
Drunk Parents,12-Jun-19,comedy, English,164610803,55000000,AU,46
St. Vincent,26-Dec-14,comedy, English,54837234,13000000,AU,71
Sleeping with Other People,2-Aug-15,comedy, English,3214116,6548225.8,AU,63
The Boss,14-Apr-16,comedy, English,78652207,29000000,AU,59
Good Kids,5-Oct-16,comedy, English,519948265,90544000,AU,64
Sisters,7-Jan-16,comedy, English,106030660,30000000,AU,60
Night School,27-Sep-18,comedy, English,104145633,29000000,AU,62
The First Wives Club,24-Oct-96,comedy, English,181489203,30000000,AU,67
"Surfer, Dude",19-Feb-09,comedy, English,36497,6000000,AU,46
Get Hard,26-Mar-15,comedy, English,111711453,40000000,AU,60
The Personal History of David Copperfield,2-Jul-20,comedy, English,13207442,15600000,AU,65
Delivery Man,18-Dec-14,comedy, English,55616322,22000000,AU,63
The Birdcage,18-Apr-96,comedy, English,185260553,31000000,AU,70
Greedy,21-Apr-94,comedy, English,13145977,12040000,AU,62
Ruthless People,25-Sep-86,comedy, English,71600000,11000000,AU,66
Son of Rambow,22-Jan-07,comedy, English,10871449,4913400,AU,67
Airplane II: The Sequel,22-Apr-83,comedy, English,27150534,20846151.6,AU,61
Tommy Boy,8-Jun-95,comedy, English,32648673,57368000,AU,68
Caddyshack,21-Aug-80,comedy, English,39849764,6000000,AU,66
A Madea Family Funeral,21-May-19,comedy, English,46115383,21690000,AU,59
Behaving Badly,16-Sep-15,comedy, English,422697,5520017.8,AU,53
Napoleon Dynamite,11-Nov-04,comedy, English,46122713,400000,AU,68
Fired Up!,23-Apr-09,comedy, English,18599102,20000000,AU,61
The Week Of,28-Apr-18,comedy, English,152911219,76000000,AU,54
Kingpin,4-Jul-96,comedy, English,32223424,25000000,AU,65
Ali G Indahouse,11-Jul-02,comedy, English,25900000,7000000,AU,61
The Jerk,6-Jun-80,comedy, English,100000000,4000000,AU,69
Fading Gigolo,1-May-14,comedy, English,2681345,11883300.6,AU,58
Parental Guidance,26-Dec-12,comedy, English,120832383,25000000,AU,59
