Index,Cast
1,Kofi Ghanaba
1,Oyafunmike Ogunlano
1,Alexandra Duah
1,Nick Medley
1,Mutabaruka
1,Afemo Omilami
1,Reggie Carter
1,Mzuri
2,Mel Giedroyc
2,Sue Perkins
2,Mary Berry
2,Paul Hollywood
3,Melissa McCarthy
3,Chris O'Dowd
3,Kevin Kline
3,Timothy Olyphant
3,Daveed Diggs
3,Skyler Gisondo
3,Laura Harrier
3,Rosalind Chao
3,Kimberly Quinn
3,Loretta Devine
3,Ravi Kapoor
4,Luna Wedler
4,Jannis Niewöhner
4,Milan Peschel
4,Edin Hasanovi?
4,Anna Fialová
4,Marlon Boess
4,Victor Boccard
4,Fleur Geffrier
4,Aziz Dyab
4,Mélanie Fouché
4,Elizaveta Maximová
5,Prashanth
5,Aishwarya Rai Bachchan
5,Sri Lakshmi
5,Nassar
6,Adam Sandler
6,Kevin James
6,Chris Rock
6,David Spade
6,Rob Schneider
6,Salma Hayek
6,Maria Bello
6,Maya Rudolph
6,Colin Quinn
6,Tim Meadows
6,Joyce Van Patten
7,Keri Russell
7,Josh Hamilton
7,J.K. Simmons
7,Dakota Goyo
7,Kadan Rockett
7,L.J. Benet
7,Rich Hutchman
7,Myndy Crist
7,Annie Thurman
7,Jake Brennan
8,Liam Hemsworth
8,Gary Oldman
8,Amber Heard
8,Harrison Ford
8,Lucas Till
8,Embeth Davidtz
8,Julian McMahon
8,Josh Holloway
8,Richard Dreyfuss
8,Angela Sarafyan
9,Billy Magnussen
9,Ron Yuan
9,Qu Jingjing
9,Terry Chen
9,Vanness Wu
9,Jin Xing
9,Philip Ng
9,Xia Yu
9,Yu Xia
10,Roy Scheider
10,Robert Shaw
10,Richard Dreyfuss
10,Lorraine Gary
10,Murray Hamilton
10,Carl Gottlieb
10,Jeffrey Kramer
10,Susan Backlinie
10,Jonathan Filley
10,Ted Grossman
11,Roy Scheider
11,Lorraine Gary
11,Murray Hamilton
11,Joseph Mascolo
11,Jeffrey Kramer
11,Collin Wilcox Paxton
11,Ann Dusenberry
11,Mark Gruner
11,Barry Coe
11,Susan French
12,Dennis Quaid
12,Bess Armstrong
12,Simon MacCorkindale
12,Louis Gossett Jr.
12,John Putch
12,Lea Thompson
12,P.H. Moriarty
12,Dan Blasko
12,Liz Morris
12,Lisa Maurer
13,Lorraine Gary
13,Lance Guest
13,Mario Van Peebles
13,Karen Young
13,Michael Caine
13,Judith Barsi
13,Mitchell Anderson
13,Lynn Whitfield
14,Denzel Washington
14,Ryan Reynolds
14,Vera Farmiga
14,Brendan Gleeson
14,Sam Shepard
14,Rubén Blades
14,Nora Arnezeder
14,Robert Patrick
14,Liam Cunningham
14,Joel Kinnaman
15,Denzel Washington
15,Ethan Hawke
15,Scott Glenn
15,Tom Berenger
15,Harris Yulin
15,Raymond J. Barry
15,Cliff Curtis
15,Dr. Dre
15,Snoop Dogg
15,Macy Gray
15,Eva Mendes
16,Kappei Yamaguchi
16,Satsuki Yukino
16,Mieko Harada
16,Koji Tsujitani
16,Houko Kuwashima
16,Kumiko Watanabe
16,Noriko Hidaka
16,Kenichi Ogata
16,Toshiyuki Morikawa
16,Izumi Ogami
17,Kappei Yamaguchi
17,Satsuki Yukino
17,Koji Tsujitani
17,Houko Kuwashima
17,Kumiko Watanabe
17,Ken Narita
17,Akio Otsuka
17,Kikuko Inoue
18,Kappei Yamaguchi
18,Satsuki Yukino
18,Koji Tsujitani
18,Houko Kuwashima
18,Kumiko Watanabe
18,Noriko Hidaka
18,Ken Narita
18,Cho
18,Mamiko Noto
18,Nobutoshi Canna
19,Kappei Yamaguchi
19,Satsuki Yukino
19,Koji Tsujitani
19,Houko Kuwashima
19,Kumiko Watanabe
19,Kenichi Ogata
19,Noriko Hidaka
19,Hisako Kyoda
19,Ken Narita
19,Tomokazu Seki
20,Junko Takeuchi
20,Chie Nakamura
20,Rikiya Koyama
20,Kazuhiko Inoue
20,Masaki Terasoma
20,Mie Sonozaki
20,Yuichi Nakamura
20,Kengo Kawanishi
20,Kosei Hirota
20,Masako Katsuki
21,Junko Takeuchi
21,Chie Nakamura
21,Noriaki Sugiyama
21,Unsho Ishizuka
21,Motoko Kumai
21,Kazuhiko Inoue
21,Rikiya Koyama
21,Showtaro Morikubo
21,Nana Mizuki
21,Satoshi Hino
21,Shinji Kawada
22,Junko Takeuchi
22,Chie Nakamura
22,Kazuhiko Inoue
22,Satoshi Hino
22,Showtaro Morikubo
22,Kentaro Ito
22,Ryoka Yuzuki
22,Kohsuke Toriumi
22,Nana Mizuki
22,Shinji Kawada
22,Yoichi Masukawa
22,Koichi Tochika
22,Yukari Tamura
23,Junko Takeuchi
23,Chie Nakamura
23,Yoichi Masukawa
23,Koichi Tochika
23,Ayumi Fujimura
23,Keisuke Oda
23,Daisuke Kishio
23,Fumiko Orikasa
23,Hidetoshi Nakamura
23,Tetsuya Kakihara
23,Kisho Taniyama
23,Miyuki Sawashiro
23,Katsuyuki Konishi
23,Masako Katsuki
23,Keiko Nemoto
23,Masashi Ebara
23,Kazuhiko Inoue
23,Showtaro Morikubo
23,Romi Park
23,Daisuke Ono
23,Seizo Kato
24,Junko Takeuchi
24,Chie Nakamura
24,Satoshi Hino
24,Rikiya Koyama
24,Nobuaki Fukuda
24,Kenji Hamada
