Index,Director
1,Haile Gerima
2,Andy Devonshire
3,Theodore Melfi
4,Christian Schwochow
5,S. Shankar
6,Dennis Dugan
7,Scott Stewart
8,Robert Luketic
9,George Nolfi
10,Steven Spielberg
11,Jeannot Szwarc
12,Joe Alves
13,Joseph Sargent
14,Daniel Espinosa
15,Antoine Fuqua
16,Toshiya Shinohara
17,Toshiya Shinohara
18,Toshiya Shinohara
19,Toshiya Shinohara
20,Masahiko Murata
21,Hajime Kamegaki
22,Masahiko Murata
23,Hajime Kamegaki
24,Masahiko Murata
25,Hirotsugu Kawasaki
26,Toshiyuki Tsuru
27,Tensai Okamura
28,Kemi Adetiba
29,Cedric Nicolas-Troyan
30,JJC Skillz
30,Funke Akindele
31,Alice Waddington
32,Raja Gosnell
33,Stephen Kijak
34,Lijo Jose Pellissery
35,David de Vos
36,Rahul Rawail
37,Jane Campion
38,Nagesh Kukunoor
39,Shanker Raman
40,Jane Campion
41,Vidhu Vinod Chopra
42,Mark Rosman
43,Lasse Hallström
44,Ridley Scott
45,Neill Blomkamp
46,Phillip Noyce
47,Renny Harlin
48,Anthony Minghella
49,Simon Wincer
50,Lasse Hallström
51,Spike Lee
52,Sebastián Schindel
53,Steven C. Miller
54,Richard LaGravenese
55,Martin Campbell
56,Reginald Hudlin
57,George Jackson
57,Doug McHenry
58,Eric Meza
59,Michael Martin
60,Michael Rymer
61,Andrew Lau Wai-keung
61,Alan Mak
62,Brett Weiner
63,Jim Henson
64,Gary Winick
65,Danishka Esterhazy
66,Troy Byer
67,Pang Ho-cheung
68,Tim Burton
69,Reginald Hudlin
70,David Zucker
71,Kinka Usher
72,Sergio Leone
73,Matthew O'Callaghan
73,Todd Wilderman
74,Bobby Farrelly
74,Peter Farrelly
75,Wolfgang Petersen
76,Peter Spirer
77,Michael Carney
78,Richard Linklater
79,Amy Rice
80,Antoine Fuqua
81,Randal Kleiser
82,Michael Ritchie
83,J. Lee Thompson
84,Evan Goldberg
84,Seth Rogen
85,Tom Shadyac
86,Malcolm D. Lee
87,Wolfgang Petersen
88,Ramzy Bedia
88,Éric Judor
89,Sharan Koppisetty
90,Taylor Sheridan
91,Sachin Yardi
92,Saurabh Kabra
93,Kemi Adetiba
94,Partho Mitra
95,Santram Varma
96,Anil V. Kumar
96,Anurag Basu
97,Sangeeth Sivan
98,Umesh Ghadge
99,Sachin Yardi
100,David Dhawan
101,Dibakar Banerjee
102,Apoorva Lakhia
103,Milan Luthria
104,Milan Luthria
105,Pawan Kripalani
106,Bhushan Patel
107,Apoorva Lakhia
108,Raj Nidimoru
108,Krishna D.K.
109,Milan Luthria
110,Angel Kristi Williams
111,Roger Donaldson
112,Christopher Alender
113,David Oyelowo
114,Brian Andrew Mendoza
115,Drake Doremus
116,Mani Ratnam
117,Paakhi Tyrewala
118,Steve Brill
119,Jane Campion
120,Ferdinando Cito Filomarino
121,Juan Carlos Medina
122,Inma Torrente
123,Julián Gaviria
124,Steven Yamamoto
125,Charles Uwagbai
126,Julián Hernández
127,Vince Marcello
128,Jonathan Teplitzky
129,Dustin Hoffman
130,Adze Ugah
131,Quoc Bao Tran
132,Bejoy Nambiar
132,Priyadarshan
132,Karthik Narain
132,Vasanth Sai
132,Karthik Subbaraj
132,Arvind Swamy
132,Rathindran R Prasad
132,Sarjun
132,Gautham Vasudev Menon
133,Kayode Kasum
134,Just Philippot
135,Kirk DeMicco
135,Brandon Jeffords
136,Rohit Shetty
137,Alejandro Doria
138,Laura Fairrie
139,Marcelo Piñeyro
140,Izu Ojukwu
141,Peter Winther
142,Susan Lacy
143,James Mangold
144,Chineze Anyaene
145,Hsu Fu-chun
146,Brian Levant
147,Rod Daniel
148,Robert Zemeckis
