title,release_year,runtime,genres,imdb_score
A Charlie Brown Christmas,1965,25,"['comedy', 'drama', 'family', 'music', 'animation']",8.3
"It's the Great Pumpkin, Charlie Brown",1966,25,"['animation', 'comedy', 'family']",8.2
A Charlie Brown Thanksgiving,1973,25,"['family', 'animation', 'comedy']",7.7
"Be My Valentine, Charlie Brown",1975,25,"['animation', 'family', 'romance', 'comedy']",7.4
"It's the Easter Beagle, Charlie Brown",1974,25,"['family', 'animation', 'comedy']",7.5
Fraggle Rock,1983,26,"['scifi', 'animation', 'comedy', 'family', 'fantasy']",7.9
"Happy New Year, Charlie Brown",1986,28,"['animation', 'comedy', 'family']",7.2
Out of Sight,1998,123,"['comedy', 'crime', 'drama', 'romance', 'thriller']",7
Entrapment,1999,112,"['thriller', 'romance', 'drama', 'action', 'crime']",6.3
"It's Christmastime Again, Charlie Brown",1992,22,"['animation', 'family', 'comedy']",6.9
The Italian Job,2003,111,"['action', 'crime', 'thriller']",7
Matchstick Men,2003,116,"['drama', 'crime', 'thriller', 'comedy']",7.3
Long Way Round,2004,45,"['documentation', 'european']",8.6
Long Way Down,2007,48,"['documentation', 'european']",8.6
"I Want a Dog for Christmas, Charlie Brown",2003,49,"['animation', 'comedy', 'family']",7
Charlie Brown's Christmas Tales,2002,18,"['comedy', 'animation', 'family']",7
A Charlie Brown Valentine,2002,25,"['family', 'animation', 'romance', 'comedy']",7.1
The Five-Year Engagement,2012,124,"['comedy', 'drama', 'romance']",6.2
Carpool Karaoke: The Series,2017,21,"['comedy', 'reality', 'music']",5.6
Ted Lasso,2020,37,"['drama', 'comedy', 'sport']",8.8
Servant,2019,29,"['drama', 'thriller', 'horror']",7.5
For All Mankind,2019,61,"['drama', 'scifi', 'war']",8
Mythic Quest,2020,27,['comedy'],7.8
Truth Be Told,2019,45,"['drama', 'thriller', 'crime']",7.1
The Morning Show,2019,57,"['drama', 'comedy']",8.3
See,2019,54,"['scifi', 'action', 'drama']",7.6
The Banker,2020,120,['drama'],7.3
Greyhound,2020,91,"['drama', 'history', 'war', 'action']",7
Amazing Stories,2020,51,"['action', 'scifi', 'drama', 'fantasy']",6.3
Tehran,2020,46,"['drama', 'action', 'crime', 'thriller']",7.6
Little America,2020,34,"['drama', 'comedy']",7.6
Trying,2020,29,"['comedy', 'drama', 'romance']",7.9
Dickinson,2019,31,"['comedy', 'drama', 'romance']",7.6
Defending Jacob,2020,51,"['drama', 'thriller', 'crime']",7.8
Central Park,2020,24,"['animation', 'comedy']",6.9
Home,2020,34,['documentation'],7.5
Home Before Dark,2020,45,"['crime', 'drama', 'thriller']",7.5
Ghostwriter,2019,25,"['scifi', 'action', 'family', 'fantasy']",5.7
Fireball: Visitors from Darker Worlds,2020,97,['documentation'],7
Wolfwalkers,2020,103,"['fantasy', 'thriller', 'animation', 'action', 'drama', 'family']",8
Beastie Boys Story,2020,119,"['documentation', 'music']",7.7
Long Way Up,2020,47,"['documentation', 'reality']",8.2
On the Rocks,2020,96,"['drama', 'comedy', 'romance']",6.4
Boys State,2020,109,['documentation'],7.6
Tiny World,2020,30,['documentation'],8.9
Oprah's Book Club,2019,32,[],4.7
